CellLine,Gene,RQ1,RQ2,RQ3,RQmin,RQmax,minus_error,plus_error
WT_ESC,NDN,1.142059734,0.913927805,0.958074519,0.883329732,1.142717878,0.121357621,0.138030525
WT_ESC,MAGEL2,1.297951672,0.796856952,0.966854476,0.833904552,1.248981329,0.186649815,0.228426962
WT_ESC,MKRN3,1.036153683,0.741396735,1.301742715,0.343288461,3.069024474,0.683142583,2.04259343
WT_ESC,SNRPN ex1/2,1.066575266,1.084102458,0.864844769,0.853941063,1.183190672,0.151233101,0.178016508
WT_ESC,SNRPN U4/ex2,1.119248546,0.964532737,0.92631029,0.869377663,1.157999651,0.133986194,0.154635794
WT_ESC,116HGG1,1.031428314,0.975691899,0.993683896,0.865087743,1.156571866,0.135180293,0.156303829
WT_ESC,116HGG2,1.010669992,1.129187711,0.876242847,0.871627159,1.159627132,0.133739691,0.154260282
WT_ESC,116HGG3,1.048716214,1.019637261,0.935182389,0.887741643,1.12911075,0.113436979,0.127932129
WT_ESC,IPW,1.048853368,0.955652047,0.99766659,0.898584483,1.114473426,0.102139519,0.113749425
WT_ESC,SNORD115,1.085893956,1.057580066,0.870761719,0.828496317,1.218488229,0.176248929,0.213742983
WT_ESC,UBE3A,1.073788605,1.082575517,0.860246685,0.883050601,1.145013126,0.122486335,0.13947619
WT_ESC,UBE3A-ATS,1.006353228,0.907286928,1.095228918,0.782304358,1.285844116,0.220652,0.282887758
WT_ESC,GABRB3,1.165114889,1.040073792,0.825214965,0.873340992,1.168354417,0.136793556,0.158219869
WT_ESC,GABRA5,1.110032307,1.028724736,0.875719859,0.886692521,1.138697497,0.118133113,0.133871863
WT_ESC,GABRG3,1.145689506,1.065838199,0.818920577,0.847416193,1.204133074,0.162733234,0.193983647
WT_ESC,PWAR5,1.143356608,1.000141258,0.874494235,0.849490276,1.191338772,0.156507091,0.185341405
WT_ESC,HERC2,1.110494737,0.997527064,0.902731938,0.910733585,1.105901907,0.092850995,0.102317327
WT_ESC,CYFIP1,1.075283276,1.024183895,0.908027845,0.903344178,1.112536,0.099154161,0.110037662
WT_ESC,TUBGCP5,1.140120517,1.031809761,0.850060051,0.8922748,1.137221348,0.11505531,0.129891238
WT_ESC,CHRNA7,1.051112921,1.033844113,0.92022826,0.887192633,1.131050702,0.114535798,0.12932227
WT_ESC,NANOG,0.878710463,1.144834545,0.994057432,0.825113778,1.226218026,0.180753702,0.220350546
WT_ESC,SOX2,1.383246238,0.88181464,0.819828851,0.756609819,1.3975418,0.271686757,0.369245223
WT_ESC,OCT3/4,0.958339969,1.168527574,0.892979387,0.801640013,1.26400259,0.20497563,0.257386946
WT_ESC,FGF4,0.779377098,1.371517577,0.935515489,0.640842693,1.651632176,0.387960695,0.622828788
WT_ESC,KLF4,0.992823154,1.00484455,1.002372681,0.840582087,1.189683838,0.159431374,0.189670376
WT_ESC,LIN28A,0.958446701,1.092315873,0.955176851,0.820308249,1.2238857,0.181671559,0.221905892
WT_ESC,ZFP42,1.146104029,0.946910078,0.921440341,0.852000947,1.18504506,0.152817203,0.180226911
WT_ESC,PAX6,1.339974096,1.007792374,0.740512731,0.479332362,2.210822382,0.550094039,1.181395981
WT_ESC,MAP2,1.040946315,1.036525062,0.926812453,0.886637122,1.131080463,0.114790822,0.129652519
WT_ESC,DLG4,1.013354373,0.9828779,1.004012417,0.896484398,1.115650352,0.103597166,0.115568788
PWS_ESC,NDN,0.000219783,0.000208785,0.000190124,0.000189487,0.000224454,1.67436E-05,1.82231E-05
PWS_ESC,MAGEL2,0.000642576,0.000610422,0.000555862,0.000554,0.000656232,4.89529E-05,5.32786E-05
PWS_ESC,MKRN3,0.023642018,0.022459003,0.020451578,0.020383095,0.024144455,0.001801105,0.001960255
PWS_ESC,SNRPN ex1/2,2.24742E-05,5.67357E-06,1.59253E-05,2.19318E-06,9.84081E-05,1.24979E-05,8.3717E-05
PWS_ESC,SNRPN U4/ex2,0.00137275,0.001304059,0.0011875,0.001183524,0.001401923,0.000104579,0.00011382
PWS_ESC,116HGG1,7.05373E-05,6.70078E-05,6.10185E-05,6.08142E-05,7.20364E-05,5.3737E-06,5.84854E-06
PWS_ESC,116HGG2,1.25188E-05,1.18924E-05,1.08294E-05,1.07931E-05,1.27848E-05,9.53711E-07,1.03798E-06
PWS_ESC,116HGG3,7.38181E-05,7.01243E-05,6.38565E-05,6.36427E-05,7.53869E-05,5.62364E-06,6.12056E-06
PWS_ESC,IPW,0.000182861,0.000173711,0.000158185,0.000157655,0.000186748,1.39308E-05,1.51618E-05
PWS_ESC,SNORD115,0.002540511,0.107311943,0.066522363,7.84685E-06,440.4890154,0.058783759,440.4302238
PWS_ESC,UBE3A,0.498306397,0.471367109,0.438947408,0.41082719,0.536644368,0.058713115,0.067104063
PWS_ESC,UBE3A-ATS,0.018037853,0.017135263,0.015603683,0.015551433,0.018421191,0.001374166,0.001495591
PWS_ESC,GABRB3,0.631437664,0.441369106,0.483080734,0.435961046,0.616973045,0.082668122,0.098343877
PWS_ESC,GABRA5,0.496808811,0.408560226,0.421071266,0.376192015,0.519664843,0.065954753,0.077518075
PWS_ESC,GABRG3,0.984159767,0.747260297,0.717801965,0.529442139,1.258911787,0.286965204,0.442504444
PWS_ESC,PWAR5,3.29884E-05,3.13377E-05,2.85367E-05,2.84411E-05,3.36895E-05,2.51313E-06,2.7352E-06
PWS_ESC,HERC2,0.615028664,0.451714946,0.370056096,0.390169786,0.587890329,0.088763449,0.108957094
PWS_ESC,CYFIP1,0.923356781,0.944507688,0.991893486,0.812849857,1.117907089,0.140402795,0.164654438
PWS_ESC,TUBGCP5,0.972736528,1.136981673,0.870971852,0.826798986,1.193963889,0.166764365,0.200400538
PWS_ESC,CHRNA7,0.384495335,0.458460285,0.382642139,0.341769102,0.488338101,0.066763485,0.079805515
PWS_ESC,NANOG,1.521646013,1.208258472,1.449880949,1.166030241,1.664775412,0.22723157,0.271513601
PWS_ESC,SOX2,0.598377846,0.777982352,0.804680513,0.53841588,0.981673741,0.18859769,0.254660171
PWS_ESC,OCT3/4,1.160772928,0.847259283,0.774606821,0.692066688,1.243149302,0.235479656,0.315602958
PWS_ESC,FGF4,1.005822997,1.18347791,0.534118877,0.575112834,1.432958481,0.33269376,0.525151886
PWS_ESC,KLF4,0.823244762,1.01235901,0.791737999,0.699473397,1.096527253,0.176307193,0.220746663
PWS_ESC,LIN28A,1.127635741,1.234113809,0.997638775,0.937953545,1.336892783,0.181842564,0.217096674
PWS_ESC,ZFP42,1.186134545,1.173986648,1.064369445,0.981929275,1.326994885,0.159567604,0.185498006
PWS_ESC,PAX6,2.363008979,0.602084456,0.826772578,0.294250648,5.429327361,0.969704689,4.165372023
